run_id,batch_size,input_lens,output_lens,n_generated,max_input_len,max_output_len,batch_e2e_ms,status
0,4,"[50, 240, 11, 7]","[22, 545, 184, 139]","[22, 545, 184, 139]",240,545,8172.53,OK
1,4,"[16, 17, 10, 40]","[296, 116, 435, 288]","[296, 116, 435, 288]",40,435,6580.259,OK
2,4,"[18, 47, 25, 5]","[365, 88, 156, 304]","[365, 88, 156, 304]",47,365,5497.399,OK
3,4,"[18, 68, 59, 1]","[487, 369, 416, 9]","[487, 369, 416, 9]",68,487,7373.784,OK
4,4,"[118, 125, 24, 289]","[119, 718, 307, 435]","[119, 718, 307, 435]",289,718,10865.961,OK
5,4,"[210, 16, 14, 17]","[96, 247, 562, 249]","[96, 247, 562, 249]",210,562,8463.967,OK
6,4,"[139, 14, 13, 9]","[450, 43, 279, 43]","[450, 43, 279, 43]",139,450,6757.32,OK
7,4,"[93, 289, 6, 32]","[523, 328, 522, 446]","[523, 328, 522, 446]",289,523,8035.103,OK
8,4,"[187, 42, 2, 8]","[171, 301, 561, 581]","[171, 301, 561, 581]",187,581,8869.056,OK
9,4,"[18, 241, 18, 4]","[93, 34, 99, 187]","[93, 34, 99, 187]",241,187,2830.569,OK
10,4,"[46, 644, 25, 39]","[646, 376, 227, 558]","[646, 376, 227, 558]",644,646,9886.309,OK
11,4,"[28, 5, 1, 10]","[280, 181, 9, 539]","[280, 181, 9, 539]",28,539,8131.747,OK
12,4,"[158, 214, 525, 14]","[148, 241, 450, 236]","[148, 241, 450, 236]",525,450,6874.238,OK
13,4,"[22, 29, 32, 17]","[288, 218, 147, 469]","[288, 218, 147, 469]",32,469,7110.388,OK
14,4,"[57, 12, 234, 101]","[157, 221, 460, 258]","[157, 221, 460, 258]",234,460,6993.683,OK
15,4,"[21, 11, 9, 19]","[268, 57, 181, 295]","[268, 57, 181, 295]",21,295,4480.953,OK
16,4,"[243, 137, 11, 10]","[182, 536, 82, 134]","[182, 536, 82, 134]",243,536,8070.988,OK
17,4,"[10, 5, 1, 63]","[376, 148, 9, 148]","[376, 148, 9, 148]",63,376,5628.816,OK
18,4,"[6, 7, 6, 87]","[185, 17, 107, 275]","[185, 17, 107, 275]",87,275,4148.649,OK
19,4,"[19, 8, 66, 11]","[555, 769, 254, 673]","[555, 769, 254, 673]",66,769,11745.024,OK
20,4,"[75, 9, 11, 336]","[315, 348, 114, 176]","[315, 348, 114, 176]",336,348,5289.772,OK
21,4,"[3, 1368, 67, 49]","[638, 159, 309, 95]","[638, 159, 309, 95]",1368,638,9647.328,OK
22,4,"[59, 111, 1998, 78]","[378, 39, 34, 767]","[378, 39, 34, 767]",1998,767,11641.701,OK
23,4,"[6, 348, 22, 9]","[9, 145, 423, 419]","[9, 145, 423, 419]",348,423,6417.788,OK
24,4,"[342, 38, 6, 23]","[505, 107, 235, 304]","[505, 107, 235, 304]",342,505,7645.189,OK
25,4,"[116, 73, 28, 2]","[137, 329, 6, 294]","[137, 329, 6, 294]",116,329,4964.554,OK
26,4,"[63, 556, 61, 255]","[589, 207, 61, 108]","[589, 207, 61, 108]",556,589,8867.735,OK
27,4,"[12, 101, 7, 28]","[314, 407, 278, 541]","[314, 407, 278, 541]",101,541,8240.088,OK
28,4,"[5, 4, 13, 12]","[300, 198, 62, 263]","[300, 198, 62, 263]",13,300,4547.297,OK
29,4,"[91, 10, 58, 25]","[424, 126, 546, 41]","[424, 126, 546, 41]",91,546,8261.454,OK
30,4,"[166, 37, 5, 56]","[25, 373, 292, 107]","[25, 373, 292, 107]",166,373,5631.484,OK
31,4,"[5, 345, 2, 42]","[120, 238, 9, 3]","[120, 238, 9, 3]",345,238,3593.282,OK
32,4,"[8, 145, 9, 20]","[163, 652, 270, 607]","[163, 652, 270, 607]",145,652,9936.007,OK
33,4,"[10, 6, 131, 13]","[43, 758, 533, 193]","[43, 758, 533, 193]",131,758,11446.729,OK
34,4,"[12, 4, 1, 537]","[532, 307, 9, 228]","[532, 307, 9, 228]",537,532,8016.466,OK
35,4,"[1555, 8, 1376, 2]","[43, 439, 200, 580]","[43, 439, 200, 580]",1555,580,8873.366,OK
36,4,"[33, 9, 1, 10]","[371, 262, 704, 387]","[371, 262, 704, 387]",33,704,10640.562,OK
37,4,"[11, 197, 47, 28]","[304, 377, 749, 596]","[304, 377, 749, 596]",197,749,11395.415,OK
38,4,"[21, 14, 598, 17]","[381, 266, 550, 170]","[381, 266, 550, 170]",598,550,8401.606,OK
39,4,"[8, 342, 87, 3]","[8, 61, 110, 359]","[8, 61, 110, 359]",342,359,5365.55,OK
40,4,"[9, 17, 87, 149]","[264, 325, 607, 247]","[264, 325, 607, 247]",149,607,9180.84,OK
41,4,"[7, 1, 42, 98]","[373, 768, 41, 767]","[373, 768, 41, 767]",98,768,11685.392,OK
42,4,"[48, 19, 8, 26]","[298, 156, 134, 529]","[298, 156, 134, 529]",48,529,7966.177,OK
43,4,"[23, 3, 12, 17]","[746, 280, 402, 197]","[746, 280, 402, 197]",23,746,11246.455,OK
44,4,"[152, 31, 2, 22]","[364, 161, 643, 386]","[364, 161, 643, 386]",152,643,9753.967,OK
